id,name,city,state,lat,lon,source,geocode_status
414,Blue Mountain Brewery,Arrington,VA,37.676480,-78.902807,nominatim:city+state,ok
415,Coastal Empire Beer Company,Savannah,GA,32.079007,-81.092134,nominatim:city+state,ok
416,Jack's Hard Cider (Hauser Estate...,Biglerville,PA,39.930378,-77.248271,nominatim:city+state,ok
417,Boulder Beer Company,Boulder,CO,40.014986,-105.270545,nominatim:city+state,ok
418,Coalition Brewing Company,Portland,OR,45.520247,-122.674194,nominatim:city+state,ok
419,Sanitas Brewing Company,Boulder,CO,40.021429,-105.247384,nominatim:name+city+state,ok
420,Gore Range Brewery,Edwards,CO,39.644255,-106.596191,nominatim:name+city+state,ok
421,Redstone Meadery,Boulder,CO,40.014986,-105.270545,nominatim:city+state,ok
422,Blue Dog Mead,Eugene,OR,44.050505,-123.095051,nominatim:city+state,ok
423,Hess Brewing Company,San Diego,CA,32.717420,-117.162772,nominatim:city+state,ok
424,Wynkoop Brewing Company,Denver,CO,39.753545,-104.998483,nominatim:name+city+state,ok
425,Ciderboys,Stevens Point,WI,44.523447,-89.584446,nominatim:city+state,ok
426,Armadillo Ale Works,Denton,TX,33.212843,-97.128032,nominatim:name+city+state,ok
427,Roanoke Railhouse Brewery,Roanoke,VA,37.270973,-79.941431,nominatim:city+state,ok
428,Schlafly Brewing Company,Saint Louis,MO,38.628028,-90.191015,nominatim:city+state,ok
429,Asher Brewing Company,Boulder,CO,40.060127,-105.205903,nominatim:name+city+state,ok
430,Lost Rhino Brewing Company,Ashburn,VA,39.029784,-77.474415,nominatim:city+state,ok
431,North Country Brewing Company,Slippery Rock,PA,41.063691,-80.055764,nominatim:name+city+state,ok
432,Seabright Brewery,Santa Cruz,CA,37.050096,-121.990590,nominatim:city+state,ok
433,French Broad Brewery,Asheville,NC,35.566368,-82.537395,nominatim:name+city+state,ok
434,Angry Orchard Cider Company,Cincinnati,OH,39.101454,-84.512460,nominatim:city+state,ok
435,Two Roads Brewing Company,Stratford,CT,41.186243,-73.142017,nominatim:name+city+state,ok
436,Southern Oregon Brewing Company,Medford,OR,42.326418,-122.871860,nominatim:city+state,ok
437,Brooklyn Brewery,Brooklyn,NY,40.721622,-73.957607,nominatim:name+city+state,ok
438,The Right Brain Brewery,Traverse City,MI,44.760648,-85.616598,nominatim:city+state,ok
439,Kona Brewing Company,Kona,HI,19.643055,-155.997531,nominatim:name+city+state,ok
440,MillKing It Productions,Royal Oak,MI,42.489480,-83.144649,nominatim:city+state,ok
441,Pateros Creek Brewing Company,Fort Collins,CO,40.587178,-105.077011,nominatim:city+state,ok
442,O'Fallon Brewery,O'Fallon,MO,38.790250,-90.703329,nominatim:city+state,ok
443,Marble Brewery,Albuquerque,NM,35.092967,-106.646788,nominatim:name+city+state,ok
444,Big Wood Brewery,Vadnais Heights,MN,45.045412,-93.075609,nominatim:name+city+state,ok
445,Howard Brewing Company,Lenoir,NC,35.259037,-77.648488,nominatim:city+state,ok
446,Downeast Cider House,Leominster,MA,42.526744,-71.761489,nominatim:city+state,ok
447,Swamp Head Brewery,Gainesville,FL,29.614744,-82.376853,nominatim:name+city+state,ok
448,Mavericks Beer Company,Half Moon Bay,CA,37.463552,-122.428586,nominatim:city+state,ok
449,TailGate Beer,San Diego,CA,32.717420,-117.162772,nominatim:city+state,ok
450,Northwest Brewing Company,Pacific,WA,46.533493,-123.768029,nominatim:city+state,ok
451,Dad & Dude's Breweria,Aurora,CO,39.740511,-104.830994,nominatim:city+state,ok
452,Centennial Beer Company,Edwards,CO,39.624457,-106.630852,nominatim:city+state,ok
453,Denali Brewing Company,Talkeetna,AK,62.161512,-150.029219,nominatim:name+city+state,ok
454,Deschutes Brewery,Bend,OR,44.046736,-121.322054,nominatim:name+city+state,ok
455,Sunken City Brewing Company,Hardy,VA,37.118498,-79.722716,nominatim:name+city+state,ok
456,Lucette Brewing Company,Menominie,WI,42.545965,-90.603021,nominatim:city+state,ok
457,The Black Tooth Brewing Company,Sheridan,WY,44.794754,-106.822269,nominatim:city+state,ok
458,Kenai River Brewing Company,Soldotna,AK,60.484682,-151.057046,nominatim:name+city+state,ok
459,River North Brewery,Denver,CO,39.767351,-104.977125,nominatim:name+city+state,ok
460,Fremont Brewing Company,Seattle,WA,47.649192,-122.344448,nominatim:name+city+state,ok
461,Armstrong Brewing Company,South San Francisco,CA,37.653540,-122.416866,nominatim:city+state,ok
462,AC Golden Brewing Company,Golden,CO,39.754635,-105.220580,nominatim:city+state,ok
463,Big Bend Brewing Company,Alpine,TX,30.360218,-103.662860,nominatim:city+state,ok
464,Good Life Brewing Company,Bend,OR,44.050964,-121.330142,nominatim:name+city+state,ok
465,Engine 15 Brewing,Jacksonville Beach,FL,30.294686,-81.393140,nominatim:city+state,ok
466,Green Room Brewing,Jacksonville,FL,30.290711,-81.392662,nominatim:name+city+state,ok
467,Brindle Dog Brewing Company,Tampa Bay,FL,27.688642,-82.572319,nominatim:city+state,ok
468,Peace Tree Brewing Company,Knoxville,IA,41.318389,-93.097136,nominatim:city+state,ok
469,Terrapin Brewing Company,Athens,GA,33.959768,-83.376398,nominatim:city+state,ok
470,Pete's Brewing Company,San Antonio,TX,29.424600,-98.495141,nominatim:city+state,ok
471,Okoboji Brewing Company,Spirit Lake,IA,43.405990,-95.126232,nominatim:name+city+state,ok
472,Crystal Springs Brewing Company,Boulder,CO,40.014986,-105.270545,nominatim:city+state,ok
473,Engine House 9,Tacoma,WA,47.245501,-122.438329,nominatim:city+state,ok
474,Tonka Beer Company,Minnetonka,MN,44.940509,-93.463894,nominatim:city+state,ok
475,Red Hare Brewing Company,Marietta,GA,33.924408,-84.495756,nominatim:name+city+state,ok
476,Hangar 24 Craft Brewery,Redlands,CA,34.083171,-117.141913,nominatim:name+city+state,ok
477,Big Elm Brewing,Sheffield,MA,42.110474,-73.353336,nominatim:city+state,ok
478,Good People Brewing Company,Birmingham,AL,33.520682,-86.802433,nominatim:city+state,ok
479,Heavy Seas Beer,Halethorpe,MD,39.232080,-76.675804,nominatim:name+city+state,ok
480,Telluride Brewing Company,Telluride,CO,37.937494,-107.812285,nominatim:city+state,ok
481,7 Seas Brewing Company,Gig Harbor,WA,47.325970,-122.587866,nominatim:city+state,ok
482,Confluence Brewing Company,Des Moines,IA,41.568388,-93.632403,nominatim:name+city+state,ok
483,Bale Breaker Brewing Company,Yakima,WA,46.601557,-120.510842,nominatim:city+state,ok
484,The Manhattan Brewing Company,New York,NY,40.712728,-74.006015,nominatim:city+state,ok
485,MacTarnahans Brewing Company,Portland,OR,45.520247,-122.674194,nominatim:city+state,ok
486,Stillmank Beer Company,Green Bay,WI,44.512638,-88.012579,nominatim:city+state,ok
487,Redhook Brewery,Woodinville,WA,47.754583,-122.158890,nominatim:city+state,ok
488,Dock Street Brewery,Philadelphia,PA,39.952724,-75.163526,nominatim:city+state,ok
489,Blue Point Brewing Company,Patchogue,NY,40.759135,-73.021606,nominatim:name+city+state,ok
490,Tampa Bay Brewing Company,Tampa,FL,27.961351,-82.441621,nominatim:name+city+state,ok
491,Devil's Canyon Brewery,Belmont,CA,37.516493,-122.294191,nominatim:city+state,ok
492,Stone Coast Brewing Company,Portland,ME,43.657361,-70.258662,nominatim:city+state,ok
